  # Iter     Skx num     Skx avg     Skx std
       0               NaN             NaN             NaN
     100       -1.00000000             NaN             NaN
     200       -1.00000000             NaN             NaN
     300       -1.00000000             NaN             NaN
     400       -1.00000000             NaN             NaN
     500       -1.00000000             NaN             NaN
     600       -1.00000000             NaN             NaN
     700       -1.00000000             NaN             NaN
     800       -1.00000000             NaN             NaN
     900       -1.00000000             NaN             NaN
    1000       -1.00000000             NaN             NaN
    1100       -1.00000000             NaN             NaN
    1200       -1.00000000             NaN             NaN
    1300       -1.00000000             NaN             NaN
    1400       -1.00000000             NaN             NaN
    1500       -1.00000000             NaN             NaN
    1600       -1.00000000             NaN             NaN
    1700       -1.00000000             NaN             NaN
    1800       -1.00000000             NaN             NaN
    1900       -1.00000000             NaN             NaN
    2000       -1.00000000             NaN             NaN
    2100       -1.00000000             NaN             NaN
    2200       -1.00000000             NaN             NaN
    2300       -1.00000000             NaN             NaN
    2400       -1.00000000             NaN             NaN
    2500       -1.00000000             NaN             NaN
    2600       -1.00000000             NaN             NaN
    2700       -1.00000000             NaN             NaN
    2800       -1.00000000             NaN             NaN
    2900       -1.00000000             NaN             NaN
    3000       -1.00000000             NaN             NaN
    3100       -1.00000000             NaN             NaN
    3200       -1.00000000             NaN             NaN
    3300       -1.00000000             NaN             NaN
    3400       -1.00000000             NaN             NaN
    3500       -1.00000000             NaN             NaN
    3600       -1.00000000             NaN             NaN
    3700       -1.00000000             NaN             NaN
    3800       -1.00000000             NaN             NaN
    3900       -1.00000000             NaN             NaN
    4000       -1.00000000             NaN             NaN
    4100       -1.00000000             NaN             NaN
    4200       -1.00000000             NaN             NaN
    4300       -1.00000000             NaN             NaN
    4400       -1.00000000             NaN             NaN
    4500       -1.00000000             NaN             NaN
    4600       -1.00000000             NaN             NaN
    4700       -1.00000000             NaN             NaN
    4800       -1.00000000             NaN             NaN
    4900       -1.00000000             NaN             NaN
    5000       -1.00000000             NaN             NaN
    5100       -1.00000000             NaN             NaN
    5200       -1.00000000             NaN             NaN
    5300       -1.00000000             NaN             NaN
    5400       -1.00000000             NaN             NaN
    5500       -1.00000000             NaN             NaN
    5600       -1.00000000             NaN             NaN
    5700       -1.00000000             NaN             NaN
    5800       -1.00000000             NaN             NaN
    5900       -1.00000000             NaN             NaN
    6000       -1.00000000             NaN             NaN
    6100       -1.00000000             NaN             NaN
    6200       -1.00000000             NaN             NaN
    6300       -1.00000000             NaN             NaN
    6400       -1.00000000             NaN             NaN
    6500       -1.00000000             NaN             NaN
    6600       -1.00000000             NaN             NaN
    6700       -1.00000000             NaN             NaN
    6800       -1.00000000             NaN             NaN
    6900       -1.00000000             NaN             NaN
    7000       -1.00000000             NaN             NaN
    7100       -1.00000000             NaN             NaN
    7200       -1.00000000             NaN             NaN
    7300       -1.00000000             NaN             NaN
    7400       -1.00000000             NaN             NaN
    7500       -1.00000000             NaN             NaN
    7600       -1.00000000             NaN             NaN
    7700       -1.00000000             NaN             NaN
    7800       -1.00000000             NaN             NaN
    7900       -1.00000000             NaN             NaN
    8000       -1.00000000             NaN             NaN
    8100       -1.00000000             NaN             NaN
    8200       -1.00000000             NaN             NaN
    8300       -1.00000000             NaN             NaN
    8400       -1.00000000             NaN             NaN
    8500       -1.00000000             NaN             NaN
    8600       -1.00000000             NaN             NaN
    8700       -1.00000000             NaN             NaN
    8800       -1.00000000             NaN             NaN
    8900       -1.00000000             NaN             NaN
    9000       -1.00000000             NaN             NaN
    9100       -1.00000000             NaN             NaN
    9200       -1.00000000             NaN             NaN
    9300       -1.00000000             NaN             NaN
    9400       -1.00000000             NaN             NaN
    9500       -1.00000000             NaN             NaN
    9600       -1.00000000             NaN             NaN
    9700       -1.00000000             NaN             NaN
    9800       -1.00000000             NaN             NaN
    9900       -1.00000000             NaN             NaN
   10000       -1.00000000             NaN             NaN
   10100       -1.00000000             NaN             NaN
   10200       -1.00000000             NaN             NaN
   10300       -1.00000000             NaN             NaN
   10400       -1.00000000             NaN             NaN
   10500       -1.00000000             NaN             NaN
   10600       -1.00000000             NaN             NaN
   10700       -1.00000000             NaN             NaN
   10800       -1.00000000             NaN             NaN
   10900       -1.00000000             NaN             NaN
   11000       -1.00000000             NaN             NaN
   11100       -1.00000000             NaN             NaN
   11200       -1.00000000             NaN             NaN
   11300       -1.00000000             NaN             NaN
   11400       -1.00000000             NaN             NaN
   11500       -1.00000000             NaN             NaN
   11600       -1.00000000             NaN             NaN
   11700       -1.00000000             NaN             NaN
   11800       -1.00000000             NaN             NaN
   11900       -1.00000000             NaN             NaN
   12000       -1.00000000             NaN             NaN
   12100       -1.00000000             NaN             NaN
   12200       -1.00000000             NaN             NaN
   12300       -1.00000000             NaN             NaN
   12400       -1.00000000             NaN             NaN
   12500       -1.00000000             NaN             NaN
   12600       -1.00000000             NaN             NaN
   12700       -1.00000000             NaN             NaN
   12800       -1.00000000             NaN             NaN
   12900       -1.00000000             NaN             NaN
   13000       -1.00000000             NaN             NaN
   13100       -1.00000000             NaN             NaN
   13200       -1.00000000             NaN             NaN
   13300       -1.00000000             NaN             NaN
   13400       -1.00000000             NaN             NaN
   13500       -1.00000000             NaN             NaN
   13600       -1.00000000             NaN             NaN
   13700       -1.00000000             NaN             NaN
   13800       -1.00000000             NaN             NaN
   13900       -1.00000000             NaN             NaN
